stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.051,-6.006,-4.602,-1.369,1.054,1.247,0.648,0.104,1.959,1308950886.315,1584,0,0,0.175
norefined,2,-1.341,-6.154,-4.493,-1.409,0.852,1.103,0.511,0.000,1.760,932398186.953,1584,0,0,0.218
norefined,3,-1.505,-6.355,-4.313,-1.426,0.620,0.916,0.370,-0.034,1.560,731003514.125,1584,0,0,0.237
norefined,4,-1.453,-6.592,-4.097,-1.368,0.394,0.708,0.252,0.059,1.404,591457583.291,1584,0,0,0.220
norefined,5,-1.347,-6.800,-3.925,-1.238,0.197,0.505,0.170,0.237,1.230,497752017.271,1584,0,0,0.198
norefined,6,-1.460,-6.932,-3.798,-1.020,0.068,0.323,0.134,0.476,1.010,452503309.460,1584,0,0,0.211
norefined,7,-0.991,-7.037,-3.831,-0.906,0.035,0.296,0.136,0.515,0.967,504726254.455,1584,0,0,0.141
norefined,8,-1.466,-7.022,-3.763,-0.860,0.009,0.248,0.112,0.576,0.865,439385787.368,1584,0,0,0.209
norefined,9,-0.979,-7.103,-3.820,-0.802,-0.010,0.242,0.105,0.565,0.862,487385259.930,1584,0,0,0.138
norefined,10,-1.457,-7.086,-3.750,-0.759,-0.027,0.198,0.082,0.615,0.766,431835935.903,1584,0,0,0.206
refined,11,-1.457,-7.086,-3.750,-0.759,-0.027,0.198,0.082,0.615,0.766,431835935.903,1584,0,0,0.206
refined,12,-0.885,-5.727,-2.902,0.455,-0.146,-0.617,-0.122,0.137,0.324,375817403.312,1584,0,0,0.155
refined,13,-0.931,-6.116,-2.958,0.102,0.151,-0.442,-0.038,0.276,-0.146,368317873.890,1584,0,0,0.152
refined,14,-0.961,-6.395,-3.095,0.138,0.145,-0.466,-0.081,0.309,-0.104,367948252.681,1584,0,0,0.150
refined,15,-0.959,-6.402,-3.088,0.110,0.178,-0.458,-0.074,0.315,-0.137,367922905.929,1584,0,0,0.150
refined,16,-0.961,-6.424,-3.099,0.113,0.175,-0.459,-0.079,0.318,-0.132,367920681.006,1584,0,0,0.150
refined,17,-0.961,-6.422,-3.097,0.110,0.179,-0.458,-0.078,0.319,-0.135,367920474.637,1584,0,0,0.150
refined,18,-0.961,-6.425,-3.099,0.111,0.178,-0.458,-0.079,0.319,-0.135,367920453.434,1584,0,0,0.150
refined,19,-0.961,-6.424,-3.098,0.110,0.178,-0.458,-0.079,0.319,-0.135,367920451.119,1584,0,0,0.150
refined,20,-0.961,-6.424,-3.099,0.110,0.178,-0.458,-0.079,0.319,-0.135,367920450.850,1584,0,0,0.150
