stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.027,-7.020,-1.095,0.692,1.793,-1.018,-1.694,-0.934,-1.578,792424822.515,0.289
norefined,2,-1.600,-7.127,-1.270,0.737,1.656,-1.082,-1.680,-0.958,-1.577,557616002.791,0.225
norefined,3,-1.138,-7.220,-1.388,0.718,1.585,-1.129,-1.648,-0.939,-1.509,452212352.502,0.158
norefined,4,-0.906,-7.297,-1.461,0.693,1.544,-1.160,-1.428,-0.803,-1.170,367345832.885,0.124
norefined,5,-0.831,-7.353,-1.542,0.633,1.481,-1.176,-1.130,-0.640,-0.837,311259794.618,0.113
norefined,6,-1.244,-7.308,-1.595,0.571,1.449,-1.188,-0.941,-0.566,-0.669,318884351.373,0.170
norefined,7,-0.772,-7.362,-1.678,0.564,1.401,-1.236,-0.892,-0.536,-0.576,286646693.909,0.105
norefined,8,-1.247,-7.297,-1.715,0.531,1.393,-1.244,-0.785,-0.492,-0.512,289560485.549,0.171
norefined,9,-0.770,-7.348,-1.803,0.519,1.348,-1.292,-0.745,-0.470,-0.438,266953991.869,0.105
norefined,10,-1.250,-7.276,-1.845,0.494,1.346,-1.295,-0.658,-0.426,-0.395,266561185.399,0.172
refined,11,-1.250,-7.276,-1.845,0.494,1.346,-1.295,-0.658,-0.426,-0.395,266561185.399,0.172
refined,12,-0.563,-4.251,-3.058,-0.119,0.192,0.137,0.594,0.341,0.144,304486710.396,0.132
refined,13,-0.526,-3.295,-1.556,-0.136,0.086,-0.337,-0.097,0.124,-0.058,93771717.106,0.160
refined,14,-0.586,-3.745,-1.835,-0.113,0.197,-0.375,0.038,0.165,-0.040,89026008.620,0.157
refined,15,-0.629,-4.017,-1.984,-0.106,0.237,-0.399,0.051,0.175,-0.036,88530027.621,0.157
refined,16,-0.659,-4.200,-2.087,-0.102,0.261,-0.413,0.060,0.174,-0.033,88349599.376,0.157
refined,17,-0.679,-4.326,-2.157,-0.099,0.278,-0.421,0.066,0.172,-0.030,88275892.729,0.157
refined,18,-0.692,-4.411,-2.205,-0.097,0.289,-0.427,0.070,0.170,-0.028,88244705.854,0.157
refined,19,-0.701,-4.469,-2.237,-0.095,0.297,-0.430,0.073,0.169,-0.027,88231243.687,0.157
refined,20,-0.707,-4.507,-2.258,-0.094,0.303,-0.433,0.075,0.168,-0.026,88225362.258,0.157
