stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,30.654,1.857,0.000,38,0,9,1363859306.509,129725901.042
refined,135.807,1.857,0.000,38,0,9,1363859306.509,31609702.130
