stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.911,"[-2.366, 0.543]",1.454,-1.136,0.282
norefined,c,-4.822,"[-13.052, 3.407]",8.229,-1.062,0.313
norefined,s,-3.163,"[-8.019, 1.694]",4.857,-1.180,0.265
norefined,k0,-1.228,"[-4.282, 1.825]",3.054,-0.729,0.483
norefined,k1,1.049,"[-2.963, 5.06]",4.012,0.474,0.646
norefined,k2,-0.460,"[-3.594, 2.673]",3.133,-0.266,0.796
norefined,k3,0.061,"[-2.383, 2.506]",2.445,0.046,0.965
norefined,k4,-0.728,"[-3.043, 1.588]",2.316,-0.570,0.582
norefined,k5,-0.313,"[-4.747, 4.122]",4.435,-0.128,0.901
refined,tt,-0.857,"[-1.878, 0.163]",1.021,-1.522,0.159
refined,c,-4.869,"[-10.567, 0.828]",5.697,-1.549,0.152
refined,s,-2.630,"[-5.785, 0.525]",3.155,-1.511,0.162
refined,k0,0.434,"[-1.166, 2.034]",1.600,0.491,0.634
refined,k1,-0.195,"[-2.173, 1.783]",1.978,-0.179,0.862
refined,k2,0.150,"[-0.517, 0.817]",0.667,0.408,0.692
refined,k3,-0.688,"[-1.734, 0.359]",1.047,-1.191,0.261
refined,k4,0.164,"[-0.973, 1.301]",1.137,0.262,0.799
refined,k5,-0.051,"[-2.023, 1.922]",1.972,-0.047,0.964
