stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.063,"[-1.844, -0.283]",0.780,-2.273,0.026
norefined,c,-5.536,"[-9.888, -1.184]",4.352,-2.122,0.038
norefined,s,-2.531,"[-4.525, -0.537]",1.994,-2.118,0.038
norefined,k0,0.264,"[-0.607, 1.135]",0.871,0.506,0.615
norefined,k1,-0.356,"[-1.511, 0.8]",1.155,-0.513,0.609
norefined,k2,-0.590,"[-1.64, 0.461]",1.051,-0.936,0.353
norefined,k3,-1.634,"[-3.319, 0.052]",1.686,-1.616,0.111
norefined,k4,-1.057,"[-2.489, 0.375]",1.432,-1.231,0.223
norefined,k5,-0.392,"[-1.586, 0.802]",1.194,-0.548,0.586
refined,tt,-0.963,"[-1.622, -0.304]",0.659,-2.437,0.017
refined,c,-6.497,"[-11.329, -1.666]",4.831,-2.243,0.028
refined,s,-3.281,"[-5.662, -0.9]",2.381,-2.299,0.025
refined,k0,-0.129,"[-0.724, 0.467]",0.595,-0.361,0.719
refined,k1,-0.227,"[-0.972, 0.517]",0.745,-0.509,0.612
refined,k2,0.848,"[-0.086, 1.783]",0.935,1.514,0.135
refined,k3,0.603,"[-0.335, 1.542]",0.938,1.072,0.287
refined,k4,0.191,"[-0.706, 1.089]",0.897,0.355,0.723
refined,k5,-0.515,"[-1.399, 0.369]",0.884,-0.972,0.335
