stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.966,"[-1.591, -0.342]",0.625,-3.088,0.003
norefined,c,-4.842,"[-7.749, -1.936]",2.907,-3.325,0.001
norefined,s,-3.469,"[-5.809, -1.129]",2.340,-2.959,0.004
norefined,k0,-1.360,"[-2.649, -0.071]",1.289,-2.106,0.039
norefined,k1,-1.086,"[-2.409, 0.237]",1.323,-1.639,0.106
norefined,k2,-0.518,"[-1.325, 0.289]",0.807,-1.281,0.205
norefined,k3,0.390,"[-0.49, 1.269]",0.880,0.884,0.380
norefined,k4,0.893,"[-0.248, 2.034]",1.141,1.562,0.123
norefined,k5,-0.587,"[-1.521, 0.348]",0.934,-1.253,0.214
refined,tt,-1.108,"[-1.577, -0.639]",0.469,-4.714,0.000
refined,c,-6.509,"[-9.233, -3.785]",2.724,-4.770,0.000
refined,s,-2.950,"[-4.277, -1.623]",1.327,-4.438,0.000
refined,k0,0.255,"[-0.304, 0.815]",0.559,0.910,0.366
refined,k1,0.757,"[-0.072, 1.586]",0.829,1.823,0.073
refined,k2,0.446,"[-0.091, 0.983]",0.537,1.657,0.102
refined,k3,-0.169,"[-0.657, 0.319]",0.488,-0.692,0.491
refined,k4,0.037,"[-0.642, 0.715]",0.679,0.108,0.914
refined,k5,0.131,"[-0.609, 0.872]",0.740,0.355,0.724
