stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.324, -1.676]",0.324,-13.321,0.000
refined,tt,-1.042,"[-1.053, -1.032]",0.010,-217.643,0.000
