stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.076,"[-1.094, -1.057]",0.019,-123.876,0.000
refined,tt,-1.076,"[-1.094, -1.057]",0.019,-123.876,0.000
