stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.507, -1.493]",0.507,-9.332,0.000
refined,tt,-0.748,"[-0.861, -0.636]",0.112,-15.770,0.000
