stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,13.372,4.667,0.003,14,0,1,34088.747,16804.178
refined,1087709.244,4.667,0.000,14,0,1,34088.747,0.407
