stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,0.000,10.128,1.000,4,0,1,432.492,432.492
refined,865984653295777024.000,10.128,0.000,4,0,1,432.492,0.000
