stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.998,"[-0.999, -0.997]",0.001,-1840.936,0.000
refined,tt,-0.998,"[-0.999, -0.997]",0.001,-1840.936,0.000
