stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.581, -1.419]",0.581,-7.440,0.000
refined,tt,-0.997,"[-0.998, -0.995]",0.002,-1171.766,0.000
