stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,317007.196,4.667,0.000,14,0,1,2056927.614,84.348
refined,317007.196,4.667,0.000,14,0,1,2056927.614,84.348
