stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,-2.106,5.591,1.000,8,0,1,6730798.500,9627881.770
refined,301.024,5.591,0.000,8,0,1,6730798.500,152961.011
