stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.798,-4.461,-2.242,0.714,-1.880,-1.830,1.104,-0.985,-0.417,1240835388.519,1584,0,0,0.179
norefined,2,-0.648,-4.620,-2.371,0.787,-1.611,-1.546,1.126,-0.821,-0.438,1117535853.658,1584,0,0,0.140
norefined,3,-0.935,-4.743,-2.359,0.846,-1.350,-1.341,1.123,-0.628,-0.402,1053230594.515,1584,0,0,0.197
norefined,4,-0.523,-4.860,-2.465,0.833,-1.235,-1.153,1.065,-0.571,-0.400,1016040432.177,1584,0,0,0.108
norefined,5,-0.980,-4.911,-2.369,0.840,-1.124,-1.084,1.065,-0.475,-0.351,982748335.951,1584,0,0,0.200
norefined,6,-0.538,-5.007,-2.476,0.812,-1.046,-0.939,0.997,-0.445,-0.334,946633962.302,1584,0,0,0.107
norefined,7,-1.008,-5.043,-2.371,0.807,-0.965,-0.894,1.001,-0.370,-0.286,933846636.155,1584,0,0,0.200
norefined,8,-0.554,-5.129,-2.478,0.772,-0.905,-0.772,0.931,-0.354,-0.262,896262235.072,1584,0,0,0.108
norefined,9,-1.032,-5.153,-2.371,0.761,-0.844,-0.742,0.938,-0.293,-0.218,897500173.400,1584,0,0,0.200
norefined,10,-0.572,-5.232,-2.479,0.723,-0.796,-0.635,0.868,-0.286,-0.191,857898595.937,1584,0,0,0.109
refined,11,-0.572,-5.232,-2.479,0.723,-0.796,-0.635,0.868,-0.286,-0.191,857898595.937,1584,0,0,0.109
refined,12,-1.345,-7.560,-3.703,-0.348,-0.427,0.854,0.062,-0.102,0.615,608922526.342,1584,0,0,0.178
refined,13,-2.120,-10.088,-5.581,-1.033,-0.278,1.365,-0.791,0.070,1.346,574824834.196,1584,0,0,0.210
refined,14,-3.117,-14.635,-8.301,-1.138,-0.411,1.968,-1.008,0.274,2.205,562906729.387,1584,0,0,0.213
refined,15,-3.934,-17.843,-10.562,-1.090,-0.648,2.854,-1.629,0.325,2.831,556930502.303,1584,0,0,0.220
refined,16,-6.219,-26.491,-16.241,-1.263,-0.945,5.541,-3.026,-0.124,4.729,551082572.754,1584,0,0,0.235
refined,17,-4.801,-17.998,-13.390,-0.522,-1.162,4.427,-4.473,0.801,2.274,591991221.240,1584,0,0,0.267
refined,18,-4.694,-20.385,-11.041,-0.542,-0.146,4.502,-1.519,-0.534,4.128,595139463.234,1584,0,0,0.230
refined,19,-3.280,-12.012,-9.635,-2.521,-1.119,3.588,-4.121,0.947,1.470,652873359.757,1584,0,0,0.273
refined,20,0.589,-3.630,1.866,3.038,0.590,-2.762,3.529,0.567,-0.090,9266691086.247,1584,0,0,-0.162
