stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.572,"[-1.022, -0.122]",0.450,-2.121,0.038
norefined,c,-5.232,"[-8.764, -1.699]",3.532,-2.470,0.016
norefined,s,-2.479,"[-4.142, -0.815]",1.664,-2.484,0.015
norefined,k0,0.723,"[-0.548, 1.993]",1.270,0.949,0.346
norefined,k1,-0.796,"[-1.703, 0.111]",0.907,-1.464,0.148
norefined,k2,-0.635,"[-1.868, 0.598]",1.233,-0.859,0.393
norefined,k3,0.868,"[-0.54, 2.277]",1.409,1.028,0.308
norefined,k4,-0.286,"[-1.24, 0.668]",0.954,-0.501,0.618
norefined,k5,-0.191,"[-0.869, 0.487]",0.678,-0.470,0.640
refined,tt,-6.219,"[-20.758, 8.32]",14.539,-0.713,0.478
refined,c,-26.491,"[-86.101, 33.12]",59.610,-0.741,0.461
refined,s,-16.241,"[-53.274, 20.792]",37.033,-0.731,0.467
refined,k0,-1.263,"[-12.403, 9.877]",11.140,-0.189,0.851
refined,k1,-0.945,"[-4.34, 2.45]",3.395,-0.464,0.644
refined,k2,5.541,"[-8.693, 19.775]",14.234,0.649,0.518
refined,k3,-3.026,"[-11.699, 5.646]",8.672,-0.582,0.562
refined,k4,-0.124,"[-3.685, 3.437]",3.561,-0.058,0.954
refined,k5,4.729,"[-8.174, 17.633]",12.904,0.611,0.543
