attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.851,"[-1.119, -0.583]",0.268,-5.295,0.000,4,0.150,184182930.189,0.141,-1.000,0.149,0,0,fn
c,-5.009,"[-6.294, -3.724]",1.285,-6.502,0.000,4,0.150,184182930.189,0.141,-6.000,0.991,0,0,fn
s,-2.562,"[-3.326, -1.798]",0.764,-5.595,0.000,4,0.150,184182930.189,0.141,-3.000,0.438,0,0,fn
k0,-0.289,"[-0.837, 0.259]",0.548,-0.879,0.382,4,0.150,184182930.189,0.141,0.000,-0.289,0,0,fp
k1,0.073,"[-0.252, 0.398]",0.325,0.375,0.709,4,0.150,184182930.189,0.141,0.000,0.073,0,0,fp
k2,-0.082,"[-0.62, 0.456]",0.538,-0.255,0.799,4,0.150,184182930.189,0.141,0.000,-0.082,0,0,fp
k3,-0.231,"[-0.895, 0.433]",0.664,-0.580,0.564,4,0.150,184182930.189,0.141,0.000,-0.231,0,0,fp
k4,-0.053,"[-0.475, 0.369]",0.422,-0.211,0.834,4,0.150,184182930.189,0.141,0.000,-0.053,0,0,fp
k5,-0.067,"[-0.398, 0.264]",0.331,-0.338,0.736,4,0.150,184182930.189,0.141,0.000,-0.067,0,0,fp
vot,0.170,,,,,4,0.150,184182930.189,0.141,0.167,0.003,0,0,fn
tt,-6.219,"[-20.758, 8.32]",14.539,-0.713,0.478,4,0.250,551082572.754,0.243,-1.000,-5.219,1,0,fn
c,-26.491,"[-86.101, 33.12]",59.610,-0.741,0.461,4,0.250,551082572.754,0.243,-6.000,-20.491,1,0,fn
s,-16.241,"[-53.274, 20.792]",37.033,-0.731,0.467,4,0.250,551082572.754,0.243,-3.000,-13.241,1,0,fn
k0,-1.263,"[-12.403, 9.877]",11.140,-0.189,0.851,4,0.250,551082572.754,0.243,0.000,-1.263,0,0,fp
k1,-0.945,"[-4.34, 2.45]",3.395,-0.464,0.644,4,0.250,551082572.754,0.243,0.000,-0.945,0,0,fp
k2,5.541,"[-8.693, 19.775]",14.234,0.649,0.518,4,0.250,551082572.754,0.243,0.000,5.541,0,0,fp
k3,-3.026,"[-11.699, 5.646]",8.672,-0.582,0.562,4,0.250,551082572.754,0.243,0.000,-3.026,0,0,fp
k4,-0.124,"[-3.685, 3.437]",3.561,-0.058,0.954,4,0.250,551082572.754,0.243,0.000,-0.124,0,0,fp
k5,4.729,"[-8.174, 17.633]",12.904,0.611,0.543,4,0.250,551082572.754,0.243,0.000,4.729,0,0,fp
vot,0.235,,,,,4,0.250,551082572.754,0.243,0.167,0.068,0,0,fn
tt,-0.746,"[-1.442, -0.049]",0.696,-1.786,0.079,4,0.500,1809814153.216,0.469,-1.000,0.254,0,0,fn
c,-4.834,"[-8.924, -0.744]",4.090,-1.971,0.053,4,0.500,1809814153.216,0.469,-6.000,1.166,0,0,fn
s,-1.636,"[-3.056, -0.216]",1.420,-1.921,0.059,4,0.500,1809814153.216,0.469,-3.000,1.364,0,0,fn
k0,-0.026,"[-1.631, 1.578]",1.604,-0.027,0.978,4,0.500,1809814153.216,0.469,0.000,-0.026,0,0,fp
k1,0.158,"[-0.821, 1.137]",0.979,0.269,0.789,4,0.500,1809814153.216,0.469,0.000,0.158,0,0,fp
k2,-0.025,"[-1.37, 1.32]",1.345,-0.031,0.975,4,0.500,1809814153.216,0.469,0.000,-0.025,0,0,fp
k3,-0.018,"[-2.021, 1.984]",2.003,-0.015,0.988,4,0.500,1809814153.216,0.469,0.000,-0.018,0,0,fp
k4,-0.794,"[-2.167, 0.579]",1.373,-0.965,0.338,4,0.500,1809814153.216,0.469,0.000,-0.794,0,0,fp
k5,0.100,"[-0.888, 1.088]",0.988,0.169,0.866,4,0.500,1809814153.216,0.469,0.000,0.100,0,0,fp
vot,0.154,,,,,4,0.500,1809814153.216,0.469,0.167,-0.012,0,0,fn
