stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.128,-6.643,-3.159,1.825,0.689,-0.765,1.945,-1.703,1.796,1001950890.909,1584,0,0,0.170
norefined,2,-1.174,-6.757,-3.298,1.603,0.605,-0.786,1.631,-1.815,1.578,757302566.641,1584,0,0,0.174
norefined,3,-1.159,-6.853,-3.454,1.380,0.518,-0.807,1.291,-1.889,1.384,594430563.780,1584,0,0,0.169
norefined,4,-1.121,-6.947,-3.604,1.169,0.422,-0.811,0.935,-1.903,1.194,503173271.585,1584,0,0,0.161
norefined,5,-1.172,-7.040,-3.714,0.990,0.314,-0.746,0.567,-1.836,0.997,450180829.503,1584,0,0,0.166
norefined,6,-1.109,-7.155,-3.760,0.870,0.208,-0.620,0.220,-1.675,0.791,414175270.604,1584,0,0,0.155
norefined,7,-1.427,-7.205,-3.711,0.797,0.105,-0.509,-0.037,-1.538,0.614,399535086.327,1584,0,0,0.198
norefined,8,-1.027,-7.331,-3.685,0.758,0.044,-0.443,-0.200,-1.373,0.517,390443042.975,1584,0,0,0.140
norefined,9,-1.510,-7.310,-3.615,0.719,-0.001,-0.432,-0.249,-1.349,0.450,383250723.793,1584,0,0,0.207
norefined,10,-1.077,-7.418,-3.610,0.675,-0.049,-0.395,-0.388,-1.203,0.380,372912632.489,1584,0,0,0.145
refined,11,-1.077,-7.418,-3.610,0.675,-0.049,-0.395,-0.388,-1.203,0.380,372912632.489,1584,0,0,0.145
refined,12,-1.345,-7.229,-3.355,-0.126,0.043,-0.642,-0.663,-0.175,-0.312,335978285.827,1584,0,0,0.186
refined,13,-1.419,-7.625,-3.493,-0.140,0.090,-0.702,-0.715,-0.209,-0.169,335322100.576,1584,0,0,0.186
refined,14,-1.409,-7.579,-3.473,-0.154,0.076,-0.687,-0.696,-0.215,-0.188,335306410.534,1584,0,0,0.186
refined,15,-1.415,-7.607,-3.485,-0.150,0.080,-0.691,-0.704,-0.214,-0.183,335305036.140,1584,0,0,0.186
refined,16,-1.413,-7.594,-3.480,-0.152,0.079,-0.689,-0.701,-0.215,-0.184,335304863.556,1584,0,0,0.186
refined,17,-1.414,-7.601,-3.482,-0.151,0.079,-0.690,-0.702,-0.214,-0.184,335304833.820,1584,0,0,0.186
refined,18,-1.414,-7.598,-3.481,-0.152,0.079,-0.690,-0.702,-0.214,-0.184,335304827.933,1584,0,0,0.186
refined,19,-1.414,-7.599,-3.482,-0.151,0.079,-0.690,-0.702,-0.214,-0.184,335304826.674,1584,0,0,0.186
refined,20,-1.414,-7.598,-3.481,-0.151,0.079,-0.690,-0.702,-0.214,-0.184,335304826.399,1584,0,0,0.186
