stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.266,"[-2.017, -0.516]",0.750,-3.370,0.001
norefined,c,-6.912,"[-11.186, -2.639]",4.274,-3.228,0.002
norefined,s,-4.366,"[-6.872, -1.86]",2.506,-3.477,0.001
norefined,k0,-0.749,"[-1.762, 0.265]",1.013,-1.475,0.145
norefined,k1,1.103,"[-0.232, 2.438]",1.335,1.649,0.104
norefined,k2,-0.047,"[-1.01, 0.917]",0.963,-0.096,0.923
norefined,k3,-0.158,"[-1.537, 1.22]",1.378,-0.229,0.819
norefined,k4,-0.600,"[-1.705, 0.506]",1.105,-1.083,0.283
norefined,k5,1.203,"[-0.343, 2.75]",1.546,1.554,0.125
refined,tt,-1.073,"[-1.38, -0.765]",0.307,-6.968,0.000
refined,c,-5.998,"[-7.769, -4.227]",1.771,-6.760,0.000
refined,s,-3.087,"[-3.893, -2.281]",0.806,-7.648,0.000
refined,k0,0.158,"[-0.251, 0.566]",0.408,0.771,0.443
refined,k1,-0.467,"[-1.002, 0.068]",0.535,-1.741,0.086
refined,k2,0.082,"[-0.358, 0.521]",0.439,0.371,0.712
refined,k3,-0.288,"[-0.849, 0.273]",0.561,-1.025,0.309
refined,k4,0.268,"[-0.171, 0.707]",0.439,1.219,0.227
refined,k5,0.085,"[-0.43, 0.601]",0.516,0.331,0.742
