stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.416,"[-2.144, -0.689]",0.728,-3.886,0.000
norefined,c,-7.602,"[-11.643, -3.561]",4.041,-3.755,0.000
norefined,s,-4.035,"[-6.188, -1.882]",2.153,-3.741,0.000
norefined,k0,-0.943,"[-1.966, 0.08]",1.023,-1.840,0.070
norefined,k1,-0.650,"[-1.484, 0.184]",0.834,-1.555,0.125
norefined,k2,1.487,"[0.253, 2.72]",1.233,2.406,0.019
norefined,k3,-1.176,"[-2.139, -0.212]",0.963,-2.436,0.018
norefined,k4,1.178,"[-0.253, 2.61]",1.431,1.643,0.105
norefined,k5,0.858,"[-0.168, 1.884]",1.026,1.670,0.100
refined,tt,-0.811,"[-0.995, -0.628]",0.183,-8.830,0.000
refined,c,-5.095,"[-6.173, -4.017]",1.078,-9.433,0.000
refined,s,-2.504,"[-3.052, -1.955]",0.548,-9.115,0.000
refined,k0,0.199,"[-0.246, 0.643]",0.444,0.892,0.375
refined,k1,-0.091,"[-0.37, 0.188]",0.279,-0.649,0.519
refined,k2,0.072,"[-0.323, 0.467]",0.395,0.364,0.717
refined,k3,-0.236,"[-0.593, 0.121]",0.357,-1.320,0.191
refined,k4,-0.402,"[-0.888, 0.084]",0.486,-1.652,0.103
refined,k5,0.263,"[-0.143, 0.669]",0.406,1.292,0.201
