stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,116.223,2.023,0.000,76,0,9,3080823713.116,185456487.937
refined,272.831,2.023,0.000,76,0,9,3080823713.116,81830187.749
