stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.248,"[-1.773, -0.724]",0.524,-4.751,0.000
norefined,c,-6.815,"[-9.835, -3.794]",3.020,-4.503,0.000
norefined,s,-3.658,"[-5.199, -2.117]",1.541,-4.737,0.000
norefined,k0,0.228,"[-0.515, 0.971]",0.743,0.614,0.542
norefined,k1,0.053,"[-0.743, 0.849]",0.796,0.132,0.895
norefined,k2,-0.329,"[-0.927, 0.268]",0.597,-1.101,0.275
norefined,k3,0.429,"[-0.347, 1.206]",0.776,1.103,0.274
norefined,k4,-0.752,"[-1.355, -0.148]",0.604,-2.484,0.015
norefined,k5,0.835,"[0.251, 1.419]",0.584,2.856,0.006
refined,tt,-0.740,"[-0.983, -0.497]",0.243,-6.083,0.000
refined,c,-5.229,"[-6.969, -3.49]",1.739,-6.002,0.000
refined,s,-2.729,"[-3.632, -1.826]",0.903,-6.033,0.000
refined,k0,0.105,"[-0.367, 0.577]",0.472,0.443,0.659
refined,k1,0.377,"[-0.08, 0.835]",0.458,1.645,0.105
refined,k2,0.217,"[-0.149, 0.584]",0.366,1.184,0.241
refined,k3,0.115,"[-0.371, 0.601]",0.486,0.471,0.639
refined,k4,-0.610,"[-1.03, -0.19]",0.420,-2.900,0.005
refined,k5,0.328,"[0.013, 0.644]",0.316,2.075,0.042
