stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.905,-6.091,-3.998,1.421,-1.853,-0.369,0.624,0.161,-1.576,6811401730.370,1584,0,0,-0.149
norefined,2,0.419,-6.120,-4.042,1.350,-1.888,-0.421,0.585,0.154,-1.600,4970385937.600,1584,0,0,-0.068
norefined,3,-0.077,-6.127,-4.057,1.302,-1.917,-0.437,0.597,0.148,-1.606,2492367397.049,1584,0,0,0.013
norefined,4,-0.574,-6.143,-4.025,1.286,-1.917,-0.442,0.629,0.151,-1.583,1586166188.206,1584,0,0,0.093
norefined,5,-1.066,-6.129,-3.972,1.307,-1.882,-0.435,0.667,0.161,-1.542,1087749335.598,1584,0,0,0.174
norefined,6,-1.450,-6.241,-3.766,1.289,-1.699,-0.354,0.718,0.219,-1.505,1099284465.570,1584,0,0,0.232
norefined,7,-0.964,-6.322,-3.826,1.283,-1.702,-0.324,0.699,0.220,-1.450,1053138686.730,1584,0,0,0.153
norefined,8,-1.422,-6.360,-3.697,1.277,-1.576,-0.272,0.730,0.259,-1.414,1074919846.235,1584,0,0,0.224
norefined,9,-0.936,-6.432,-3.765,1.269,-1.576,-0.243,0.711,0.264,-1.359,1031925182.321,1584,0,0,0.146
norefined,10,-1.415,-6.437,-3.678,1.268,-1.481,-0.208,0.729,0.292,-1.320,1060397395.388,1584,0,0,0.220
refined,11,-0.936,-6.432,-3.765,1.269,-1.576,-0.243,0.711,0.264,-1.359,1031925182.321,1584,0,0,0.146
refined,12,-0.637,-4.000,-2.097,0.530,0.142,0.336,0.399,0.468,0.342,884663224.022,1584,0,0,0.159
refined,13,-0.404,-2.551,-1.698,0.778,-0.154,-0.028,0.551,0.523,-0.139,764954686.866,1584,0,0,0.158
refined,14,-0.164,-1.098,-0.754,0.466,0.058,0.022,0.237,0.162,0.138,584910445.769,1584,0,0,0.149
refined,15,-0.181,-1.217,-0.863,0.475,0.043,0.047,0.332,0.302,0.149,568619243.115,1584,0,0,0.149
refined,16,-0.184,-1.231,-0.875,0.481,0.043,0.053,0.335,0.315,0.147,568463266.224,1584,0,0,0.150
refined,17,-0.185,-1.233,-0.876,0.482,0.043,0.053,0.336,0.317,0.147,568461770.839,1584,0,0,0.150
refined,18,-0.185,-1.233,-0.876,0.482,0.043,0.053,0.336,0.317,0.147,568461752.161,1584,0,0,0.150
refined,19,-0.185,-1.233,-0.876,0.482,0.043,0.053,0.336,0.317,0.147,568461751.876,1584,0,0,0.150
refined,20,-0.185,-1.233,-0.876,0.482,0.043,0.053,0.336,0.317,0.147,568461751.871,1584,0,0,0.150
