stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.563,-5.813,-3.846,-0.518,-0.095,-0.335,-0.021,-0.801,-0.614,1846326042.713,-0.097
norefined,2,0.090,-5.862,-3.797,-0.572,-0.162,-0.384,-0.094,-0.861,-0.665,981219855.966,-0.015
norefined,3,-0.398,-5.913,-3.721,-0.575,-0.193,-0.393,-0.136,-0.868,-0.683,559509127.659,0.067
norefined,4,-0.877,-5.961,-3.604,-0.552,-0.206,-0.354,-0.159,-0.829,-0.683,323366196.438,0.147
norefined,5,-1.339,-5.988,-3.484,-0.467,-0.186,-0.286,-0.130,-0.767,-0.616,231703940.418,0.224
norefined,6,-0.950,-6.084,-3.515,-0.367,-0.030,-0.243,-0.080,-0.572,-0.509,258139498.507,0.156
norefined,7,-1.415,-6.102,-3.374,-0.286,-0.032,-0.185,-0.077,-0.537,-0.466,223339769.432,0.232
norefined,8,-0.939,-6.157,-3.446,-0.276,0.035,-0.205,-0.081,-0.438,-0.453,245652680.357,0.152
norefined,9,-1.406,-6.171,-3.300,-0.200,0.018,-0.153,-0.083,-0.421,-0.422,217616754.295,0.228
norefined,10,-0.926,-6.220,-3.379,-0.203,0.074,-0.177,-0.092,-0.335,-0.423,237885047.961,0.149
refined,11,-1.406,-6.171,-3.300,-0.200,0.018,-0.153,-0.083,-0.421,-0.422,217616754.295,0.228
refined,12,-0.583,-3.905,-1.690,0.394,0.296,-0.153,0.247,0.384,-0.584,265798438.395,0.149
refined,13,-1.083,-6.862,-3.046,0.558,0.301,-0.348,0.198,0.305,-0.863,186600110.103,0.158
refined,14,-1.061,-5.883,-2.862,0.168,0.056,-0.156,-0.154,0.040,-0.534,182320432.467,0.180
refined,15,-1.015,-5.786,-2.693,0.262,0.263,-0.252,0.087,0.116,-0.638,181454380.716,0.175
refined,16,-1.064,-6.021,-2.842,0.210,0.181,-0.216,-0.022,0.067,-0.604,181133239.354,0.177
refined,17,-1.037,-5.897,-2.762,0.241,0.223,-0.233,0.029,0.095,-0.622,181086567.876,0.176
refined,18,-1.055,-5.984,-2.815,0.223,0.202,-0.224,-0.002,0.077,-0.612,181061437.118,0.176
refined,19,-1.044,-5.932,-2.784,0.233,0.214,-0.229,0.016,0.088,-0.617,181054906.124,0.176
refined,20,-1.051,-5.964,-2.803,0.227,0.208,-0.226,0.005,0.081,-0.614,181052135.394,0.176
