stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.844,"[-1.744, 0.056]",0.900,-1.871,0.066
norefined,c,-6.350,"[-12.369, -0.331]",6.019,-2.106,0.039
norefined,s,-2.717,"[-5.371, -0.063]",2.654,-2.043,0.045
norefined,k0,-0.448,"[-2.596, 1.7]",2.148,-0.416,0.679
norefined,k1,-1.175,"[-3.152, 0.802]",1.977,-1.187,0.240
norefined,k2,0.466,"[-0.901, 1.833]",1.367,0.681,0.498
norefined,k3,0.283,"[-0.909, 1.475]",1.192,0.473,0.637
norefined,k4,-0.547,"[-2.093, 0.998]",1.545,-0.707,0.482
norefined,k5,-0.670,"[-2.246, 0.906]",1.576,-0.849,0.399
refined,tt,-0.290,"[-0.369, -0.211]",0.079,-7.354,0.000
refined,c,-1.602,"[-2.032, -1.171]",0.430,-7.433,0.000
refined,s,-0.770,"[-1.006, -0.534]",0.236,-6.515,0.000
refined,k0,0.341,"[0.024, 0.659]",0.318,2.144,0.036
refined,k1,-0.144,"[-0.474, 0.185]",0.330,-0.873,0.386
refined,k2,0.393,"[0.091, 0.695]",0.302,2.596,0.012
refined,k3,-0.063,"[-0.291, 0.165]",0.228,-0.548,0.585
refined,k4,0.082,"[-0.149, 0.313]",0.231,0.708,0.482
refined,k5,-0.162,"[-0.448, 0.124]",0.286,-1.128,0.263
