stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.390,"[-2.969, 0.188]",1.579,-1.758,0.083
norefined,c,-6.855,"[-15.189, 1.479]",8.334,-1.642,0.105
norefined,s,-3.800,"[-8.046, 0.446]",4.246,-1.786,0.079
norefined,k0,0.642,"[-1.372, 2.656]",2.014,0.636,0.527
norefined,k1,-1.222,"[-3.142, 0.697]",1.920,-1.271,0.208
norefined,k2,0.078,"[-1.996, 2.153]",2.074,0.076,0.940
norefined,k3,-0.192,"[-2.861, 2.478]",2.670,-0.143,0.887
norefined,k4,-0.229,"[-1.747, 1.289]",1.518,-0.302,0.764
norefined,k5,-0.564,"[-2.631, 1.503]",2.067,-0.544,0.588
refined,tt,-1.390,"[-2.969, 0.188]",1.579,-1.758,0.083
refined,c,-6.855,"[-15.189, 1.479]",8.334,-1.642,0.105
refined,s,-3.800,"[-8.046, 0.446]",4.246,-1.786,0.079
refined,k0,0.642,"[-1.372, 2.656]",2.014,0.636,0.527
refined,k1,-1.222,"[-3.142, 0.697]",1.920,-1.271,0.208
refined,k2,0.078,"[-1.996, 2.153]",2.074,0.076,0.940
refined,k3,-0.192,"[-2.861, 2.478]",2.670,-0.143,0.887
refined,k4,-0.229,"[-1.747, 1.289]",1.518,-0.302,0.764
refined,k5,-0.564,"[-2.631, 1.503]",2.067,-0.544,0.588
