stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,46.473,2.023,0.000,0,9,2736523676.874,377838447.204,76
refined,90.047,2.023,0.000,0,9,2736523676.874,208960581.429,76
