stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.881,"[-1.4, -0.363]",0.518,-2.890,0.007
norefined,c,-6.387,"[-10.239, -2.535]",3.852,-2.817,0.009
norefined,s,-3.094,"[-4.724, -1.465]",1.630,-3.227,0.003
norefined,k0,-1.071,"[-2.179, 0.036]",1.107,-1.644,0.111
norefined,k1,0.270,"[-0.823, 1.363]",1.093,0.420,0.678
norefined,k2,-0.587,"[-1.403, 0.23]",0.817,-1.221,0.232
norefined,k3,-0.350,"[-1.396, 0.697]",1.046,-0.568,0.575
norefined,k4,-0.132,"[-1.59, 1.325]",1.458,-0.154,0.878
norefined,k5,0.326,"[-0.703, 1.356]",1.030,0.538,0.594
refined,tt,-0.764,"[-1.057, -0.47]",0.294,-4.415,0.000
refined,c,-4.510,"[-6.591, -2.43]",2.080,-3.684,0.001
refined,s,-2.699,"[-3.647, -1.752]",0.948,-4.840,0.000
refined,k0,0.444,"[-0.197, 1.085]",0.641,1.177,0.249
refined,k1,-0.420,"[-1.103, 0.263]",0.683,-1.044,0.305
refined,k2,-0.238,"[-0.662, 0.187]",0.424,-0.952,0.349
refined,k3,-0.152,"[-0.651, 0.347]",0.499,-0.518,0.609
refined,k4,-0.978,"[-1.827, -0.128]",0.850,-1.955,0.060
refined,k5,0.389,"[-0.217, 0.996]",0.607,1.091,0.284
