stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.526,-6.530,-2.173,-1.792,0.764,0.293,-0.649,-0.154,0.936,333951724.465,0.081
norefined,2,-0.957,-6.509,-2.186,-1.772,0.704,0.121,-0.679,-0.208,0.773,162738111.306,0.147
norefined,3,-1.312,-6.484,-2.181,-1.681,0.595,-0.151,-0.698,-0.217,0.604,105076618.890,0.202
norefined,4,-1.408,-6.457,-2.253,-1.448,0.489,-0.541,-0.714,-0.139,0.500,75970126.490,0.218
norefined,5,-1.081,-6.483,-2.398,-1.231,0.439,-0.801,-0.727,-0.109,0.447,63149961.283,0.167
norefined,6,-1.440,-6.431,-2.431,-0.940,0.443,-0.934,-0.655,-0.027,0.392,59469481.731,0.224
norefined,7,-0.959,-6.494,-2.537,-0.897,0.450,-0.935,-0.680,-0.055,0.396,56353695.597,0.148
norefined,8,-1.399,-6.453,-2.527,-0.682,0.460,-0.948,-0.612,-0.010,0.361,53125492.695,0.217
norefined,9,-0.915,-6.519,-2.615,-0.656,0.467,-0.922,-0.642,-0.042,0.372,52302522.603,0.140
norefined,10,-1.371,-6.484,-2.585,-0.472,0.464,-0.912,-0.580,-0.011,0.332,49264512.861,0.211
refined,11,-1.371,-6.484,-2.585,-0.472,0.464,-0.912,-0.580,-0.011,0.332,49264512.861,0.211
refined,12,1.039,0.376,1.096,0.362,0.278,0.544,0.864,2.631,-1.606,3260466055.632,2.762
refined,13,-5.936,-10.770,-7.248,-4.047,0.867,-7.160,-5.193,-7.293,6.303,275944962.308,0.551
refined,14,4.512,9.309,-2.784,-1.152,-2.747,9.871,9.129,-2.829,-0.640,4277680854.130,0.485
refined,15,104.409,188.056,-67.269,-51.743,-53.489,238.777,218.606,-43.531,-38.710,4292496174.066,0.555
refined,16,-5158.860,-1459.425,6994.378,-4771.924,-32268.932,9560.099,-6613.901,3615.036,7333.012,1449749255.482,3.535
refined,17,-5158.860,-1459.425,6994.378,-4771.924,-32268.932,9560.099,-6613.901,3615.036,7333.012,1449749255.482,3.535
refined,18,-5158.860,-1459.425,6994.378,-4771.924,-32268.932,9560.099,-6613.901,3615.036,7333.012,1449749255.482,3.535
refined,19,-5158.860,-1459.425,6994.378,-4771.924,-32268.932,9560.099,-6613.901,3615.036,7333.012,1449749255.482,3.535
refined,20,-5158.860,-1459.425,6994.378,-4771.924,-32268.932,9560.099,-6613.901,3615.036,7333.012,1449749255.482,3.535
