stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.061,"[-2.584, 0.461]",1.523,-1.163,0.249
norefined,c,-5.273,"[-13.398, 2.851]",8.125,-1.083,0.283
norefined,s,-1.992,"[-5.174, 1.189]",3.182,-1.044,0.300
norefined,k0,0.223,"[-2.652, 3.098]",2.875,0.129,0.897
norefined,k1,-0.500,"[-2.173, 1.173]",1.673,-0.498,0.620
norefined,k2,0.670,"[-1.935, 3.275]",2.605,0.429,0.669
norefined,k3,-0.068,"[-2.343, 2.206]",2.274,-0.050,0.960
norefined,k4,-1.431,"[-4.474, 1.613]",3.044,-0.784,0.436
norefined,k5,0.589,"[-1.508, 2.685]",2.096,0.468,0.641
refined,tt,-1261.998,"[-518442.56, 515918.564]",517180.562,-0.004,0.997
refined,c,-7131.625,"[-683053.335, 668790.086]",675921.711,-0.018,0.986
refined,s,-2699.439,"[-320150.946, 314752.067]",317451.506,-0.014,0.989
refined,k0,-1333.957,"[-2070880.969, 2068213.056]",2069547.012,-0.001,0.999
refined,k1,245.866,"[-1277583.78, 1278075.513]",1277829.647,0.000,1.000
refined,k2,460.991,"[-345724.273, 346646.254]",346185.264,0.002,0.998
refined,k3,-771.878,"[-1396024.109, 1394480.354]",1395252.231,-0.001,0.999
refined,k4,721.859,"[-1520266.009, 1521709.727]",1520987.868,0.001,0.999
refined,k5,1775.392,"[-1170330.49, 1173881.273]",1172105.881,0.003,0.998
