stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,128.762,2.023,0.000,0,9,3133845554.382,171281637.082,76
refined,249.664,2.023,0.000,0,9,3133845554.382,90738770.386,76
