stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.041,-7.064,-2.068,-0.694,0.822,1.899,-0.069,1.135,-0.170,2303799223.624,0.006
norefined,2,-0.518,-7.065,-2.125,-0.754,0.779,1.833,-0.139,1.079,-0.200,1071061631.046,0.073
norefined,3,-0.891,-7.066,-2.245,-0.893,0.659,1.622,-0.200,0.961,-0.224,804980429.969,0.126
norefined,4,-0.918,-7.116,-2.370,-1.058,0.443,1.278,-0.219,0.770,-0.269,634031923.859,0.129
norefined,5,-1.141,-7.124,-2.465,-1.145,0.254,0.944,-0.195,0.586,-0.313,549439479.257,0.160
norefined,6,-0.732,-7.201,-2.543,-1.137,0.154,0.775,-0.158,0.440,-0.409,613821078.839,0.102
norefined,7,-1.226,-7.152,-2.532,-1.135,0.139,0.738,-0.165,0.427,-0.372,521216709.713,0.171
norefined,8,-0.770,-7.232,-2.588,-1.106,0.084,0.639,-0.131,0.322,-0.455,584859275.495,0.107
norefined,9,-1.265,-7.181,-2.572,-1.101,0.078,0.621,-0.142,0.314,-0.410,505348982.613,0.176
norefined,10,-0.798,-7.263,-2.620,-1.065,0.038,0.547,-0.113,0.226,-0.489,568325629.770,0.110
refined,11,-1.265,-7.181,-2.572,-1.101,0.078,0.621,-0.142,0.314,-0.410,505348982.613,0.176
refined,12,-1.493,-8.852,-3.650,-0.701,0.463,0.321,-0.639,-0.397,-0.690,414901096.569,0.169
refined,13,-1.808,-10.229,-4.404,-0.805,0.383,0.590,-0.495,-0.454,-1.078,411428779.189,0.177
refined,14,-1.815,-10.243,-4.594,-0.782,0.333,0.651,-0.535,-0.517,-1.069,410307444.757,0.177
refined,15,-1.967,-10.916,-4.989,-0.850,0.290,0.777,-0.526,-0.556,-1.240,409895671.236,0.180
refined,16,-2.014,-11.131,-5.170,-0.859,0.263,0.813,-0.543,-0.573,-1.267,409735623.401,0.181
refined,17,-2.074,-11.400,-5.339,-0.883,0.236,0.857,-0.534,-0.576,-1.328,409677324.287,0.182
refined,18,-2.095,-11.495,-5.411,-0.888,0.216,0.869,-0.532,-0.574,-1.344,409653603.277,0.182
refined,19,-2.116,-11.589,-5.472,-0.896,0.203,0.881,-0.526,-0.569,-1.366,409643276.131,0.183
refined,20,-2.125,-11.628,-5.500,-0.899,0.192,0.885,-0.523,-0.565,-1.374,409638507.190,0.183
