stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.532,-4.283,-4.326,-0.389,0.235,-0.747,1.761,-1.491,-0.231,260000424.939,0.358
norefined,2,-1.069,-4.445,-4.265,-0.395,0.241,-0.772,1.744,-1.449,-0.184,159603861.309,0.240
norefined,3,-0.795,-4.750,-4.053,-0.388,0.299,-0.757,1.607,-1.328,-0.197,172459003.741,0.167
norefined,4,-1.271,-4.795,-3.922,-0.420,0.311,-0.729,1.578,-1.294,-0.225,168611752.508,0.265
norefined,5,-0.786,-4.905,-3.928,-0.401,0.324,-0.729,1.551,-1.257,-0.199,154189409.502,0.160
norefined,6,-1.264,-4.942,-3.802,-0.430,0.336,-0.698,1.524,-1.222,-0.226,157715377.156,0.256
norefined,7,-0.779,-5.047,-3.815,-0.408,0.347,-0.695,1.495,-1.183,-0.199,138841216.718,0.154
norefined,8,-1.259,-5.077,-3.697,-0.433,0.359,-0.660,1.469,-1.147,-0.227,148447650.048,0.248
norefined,9,-0.773,-5.176,-3.718,-0.409,0.366,-0.654,1.438,-1.106,-0.199,126366410.452,0.149
norefined,10,-1.256,-5.199,-3.607,-0.430,0.377,-0.616,1.414,-1.070,-0.226,140711262.805,0.241
refined,11,-0.773,-5.176,-3.718,-0.409,0.366,-0.654,1.438,-1.106,-0.199,126366410.452,0.149
refined,12,-0.531,-3.197,-1.052,0.609,-1.198,0.876,-1.310,1.037,1.139,232807438.068,0.166
refined,13,-0.534,-3.058,-1.444,0.244,-0.554,0.194,-0.395,0.468,0.605,46624923.440,0.175
refined,14,-0.619,-3.568,-1.779,0.270,-0.636,0.253,-0.270,0.286,0.484,36519883.287,0.173
refined,15,-0.675,-3.921,-1.978,0.342,-0.579,0.217,-0.227,0.284,0.471,35348849.613,0.172
refined,16,-0.717,-4.162,-2.113,0.384,-0.520,0.181,-0.240,0.314,0.496,35056524.521,0.172
refined,17,-0.747,-4.317,-2.204,0.413,-0.478,0.155,-0.254,0.333,0.519,34946924.107,0.173
refined,18,-0.768,-4.423,-2.267,0.433,-0.448,0.138,-0.265,0.345,0.537,34898507.054,0.174
refined,19,-0.783,-4.498,-2.313,0.448,-0.425,0.126,-0.273,0.352,0.550,34875007.041,0.174
refined,20,-0.794,-4.553,-2.347,0.459,-0.409,0.117,-0.280,0.357,0.560,34862910.014,0.174
