stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.324,-7.551,-3.945,-1.698,1.598,-0.896,1.590,-1.185,-0.287,1714754307.617,1584,0,0,0.043
norefined,2,-0.800,-7.599,-3.844,-1.716,1.563,-0.886,1.501,-1.183,-0.314,1153567614.788,1584,0,0,0.105
norefined,3,-1.273,-7.620,-3.728,-1.717,1.536,-0.875,1.396,-1.173,-0.346,802842030.615,1584,0,0,0.167
norefined,4,-1.088,-7.797,-3.593,-1.804,1.285,-0.744,1.122,-1.131,-0.306,727675495.061,1584,0,0,0.140
norefined,5,-1.543,-7.821,-3.462,-1.801,1.211,-0.715,0.993,-1.104,-0.350,885192585.241,1584,0,0,0.197
norefined,6,-1.064,-7.874,-3.560,-1.805,1.153,-0.719,0.957,-1.140,-0.299,707233294.549,1584,0,0,0.135
norefined,7,-1.538,-7.876,-3.450,-1.781,1.110,-0.716,0.865,-1.118,-0.347,857144272.086,1584,0,0,0.195
norefined,8,-1.059,-7.923,-3.554,-1.781,1.057,-0.725,0.835,-1.156,-0.297,693355027.625,1584,0,0,0.134
norefined,9,-1.537,-7.917,-3.452,-1.749,1.026,-0.730,0.759,-1.134,-0.346,836696528.824,1584,0,0,0.194
norefined,10,-1.059,-7.961,-3.560,-1.746,0.975,-0.743,0.733,-1.172,-0.297,682194317.457,1584,0,0,0.133
refined,11,-1.059,-7.961,-3.560,-1.746,0.975,-0.743,0.733,-1.172,-0.297,682194317.457,1584,0,0,0.133
refined,12,-1.424,-8.047,-4.286,-1.226,-1.271,-1.466,0.065,-0.203,-0.442,520557652.084,1584,0,0,0.177
refined,13,-0.860,-4.299,-2.473,-0.018,-0.656,-0.717,-0.560,0.034,0.749,543812824.489,1584,0,0,0.200
refined,14,-1.250,-6.131,-3.744,-0.268,-1.117,-0.960,-0.463,-0.050,0.471,492898041.236,1584,0,0,0.204
refined,15,-1.274,-6.189,-3.653,-0.406,-0.948,-0.920,-0.527,-0.389,0.522,487775746.040,1584,0,0,0.206
refined,16,-1.381,-6.641,-3.985,-0.449,-1.047,-0.999,-0.574,-0.403,0.555,487341963.796,1584,0,0,0.208
refined,17,-1.347,-6.434,-3.837,-0.418,-0.973,-0.975,-0.622,-0.407,0.651,487337130.281,1584,0,0,0.209
refined,18,-1.425,-6.791,-4.109,-0.469,-1.078,-1.030,-0.620,-0.437,0.573,487321891.426,1584,0,0,0.210
refined,19,-1.342,-6.381,-3.810,-0.402,-0.957,-0.970,-0.655,-0.408,0.682,487543250.361,1584,0,0,0.210
refined,20,-1.443,-6.862,-4.174,-0.474,-1.105,-1.042,-0.632,-0.443,0.556,487472925.374,1584,0,0,0.210
