stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.060,"[-1.569, -0.551]",0.509,-3.491,0.001
norefined,c,-7.420,"[-11.444, -3.396]",4.024,-3.093,0.003
norefined,s,-3.807,"[-5.875, -1.739]",2.068,-3.088,0.003
norefined,k0,0.485,"[-0.333, 1.302]",0.817,0.994,0.325
norefined,k1,0.387,"[-0.346, 1.12]",0.733,0.885,0.380
norefined,k2,-0.452,"[-1.247, 0.344]",0.795,-0.953,0.345
norefined,k3,0.950,"[0.111, 1.789]",0.839,1.900,0.063
norefined,k4,-1.112,"[-2.125, -0.1]",1.013,-1.842,0.072
norefined,k5,-0.755,"[-1.634, 0.124]",0.879,-1.441,0.156
refined,tt,-8.973,"[-22.011, 4.064]",13.037,-1.154,0.254
refined,c,-70.048,"[-168.505, 28.41]",98.457,-1.193,0.239
refined,s,-33.893,"[-82.44, 14.655]",48.548,-1.171,0.247
refined,k0,-6.459,"[-15.988, 3.071]",9.530,-1.137,0.261
refined,k1,6.189,"[-5.295, 17.674]",11.485,0.904,0.371
refined,k2,-1.480,"[-6.537, 3.577]",5.057,-0.491,0.626
refined,k3,4.879,"[-2.499, 12.257]",7.378,1.109,0.273
refined,k4,-2.338,"[-7.391, 2.715]",5.053,-0.776,0.442
refined,k5,-7.101,"[-16.874, 2.672]",9.773,-1.219,0.229
