stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.083,"[-1.968, -0.198]",0.885,-2.442,0.017
norefined,c,-6.392,"[-11.356, -1.427]",4.964,-2.570,0.012
norefined,s,-3.125,"[-5.834, -0.417]",2.708,-2.303,0.024
norefined,k0,0.003,"[-1.426, 1.432]",1.429,0.004,0.997
norefined,k1,-0.017,"[-1.02, 0.986]",1.003,-0.034,0.973
norefined,k2,-0.427,"[-2.227, 1.373]",1.800,-0.474,0.637
norefined,k3,0.422,"[-0.724, 1.569]",1.147,0.735,0.465
norefined,k4,-0.342,"[-1.404, 0.721]",1.062,-0.642,0.523
norefined,k5,-0.086,"[-1.926, 1.754]",1.840,-0.093,0.926
refined,tt,-1.340,"[-2.635, -0.046]",1.294,-2.067,0.043
refined,c,-7.000,"[-13.555, -0.445]",6.555,-2.132,0.037
refined,s,-3.377,"[-6.53, -0.224]",3.153,-2.138,0.036
refined,k0,-0.325,"[-1.617, 0.968]",1.293,-0.501,0.618
refined,k1,0.580,"[-0.322, 1.481]",0.902,1.283,0.204
refined,k2,0.343,"[-1.32, 2.005]",1.663,0.411,0.682
refined,k3,-0.419,"[-1.665, 0.826]",1.246,-0.672,0.504
refined,k4,0.304,"[-0.927, 1.534]",1.231,0.492,0.624
refined,k5,-0.496,"[-2.143, 1.151]",1.647,-0.601,0.550
