stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.771,"[-1.301, -0.241]",0.530,-2.428,0.018
norefined,c,-6.583,"[-11.004, -2.162]",4.421,-2.483,0.016
norefined,s,-2.986,"[-4.897, -1.075]",1.911,-2.606,0.011
norefined,k0,-2.023,"[-3.976, -0.069]",1.953,-1.727,0.089
norefined,k1,0.554,"[-0.724, 1.832]",1.278,0.723,0.472
norefined,k2,1.372,"[-0.293, 3.036]",1.665,1.374,0.174
norefined,k3,-1.223,"[-2.438, -0.007]",1.215,-1.678,0.098
norefined,k4,0.484,"[-0.765, 1.733]",1.249,0.646,0.520
norefined,k5,-0.074,"[-0.994, 0.845]",0.920,-0.135,0.893
refined,tt,-1.012,"[-1.408, -0.616]",0.396,-4.264,0.000
refined,c,-5.890,"[-8.036, -3.743]",2.147,-4.576,0.000
refined,s,-3.168,"[-4.465, -1.872]",1.297,-4.075,0.000
refined,k0,-0.400,"[-1.125, 0.324]",0.725,-0.921,0.360
refined,k1,-0.465,"[-1.147, 0.218]",0.683,-1.135,0.260
refined,k2,-0.475,"[-1.259, 0.31]",0.785,-1.009,0.317
refined,k3,-0.466,"[-1.13, 0.199]",0.665,-1.169,0.247
refined,k4,-0.237,"[-1.22, 0.746]",0.983,-0.402,0.689
refined,k5,0.137,"[-0.448, 0.722]",0.585,0.390,0.698
