stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.077,"[-1.898, -0.257]",0.820,-2.621,0.011
norefined,c,-7.418,"[-12.907, -1.928]",5.490,-2.697,0.009
norefined,s,-3.610,"[-6.244, -0.977]",2.633,-2.737,0.008
norefined,k0,0.675,"[-1.092, 2.441]",1.767,0.762,0.449
norefined,k1,-0.049,"[-1.164, 1.066]",1.115,-0.087,0.931
norefined,k2,-0.395,"[-1.689, 0.899]",1.294,-0.609,0.544
norefined,k3,-0.388,"[-1.514, 0.737]",1.126,-0.688,0.494
norefined,k4,-1.203,"[-3.158, 0.752]",1.955,-1.229,0.223
norefined,k5,0.380,"[-0.976, 1.736]",1.356,0.559,0.578
refined,tt,-1.414,"[-2.329, -0.498]",0.915,-3.083,0.003
refined,c,-7.598,"[-12.4, -2.796]",4.802,-3.158,0.002
refined,s,-3.481,"[-5.691, -1.271]",2.210,-3.144,0.002
refined,k0,-0.151,"[-1.502, 1.199]",1.351,-0.224,0.824
refined,k1,0.079,"[-1.054, 1.212]",1.133,0.139,0.890
refined,k2,-0.690,"[-1.966, 0.586]",1.276,-1.079,0.284
refined,k3,-0.702,"[-1.832, 0.429]",1.131,-1.239,0.220
refined,k4,-0.214,"[-1.511, 1.082]",1.296,-0.330,0.742
refined,k5,-0.184,"[-1.469, 1.102]",1.285,-0.285,0.776
