stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.710,"[-2.929, -0.492]",1.218,-2.803,0.007
norefined,c,-7.488,"[-12.596, -2.381]",5.108,-2.926,0.005
norefined,s,-4.224,"[-7.508, -0.94]",3.284,-2.567,0.012
norefined,k0,0.348,"[-0.938, 1.633]",1.286,0.540,0.591
norefined,k1,-0.179,"[-1.511, 1.154]",1.333,-0.267,0.790
norefined,k2,0.300,"[-1.022, 1.622]",1.322,0.453,0.652
norefined,k3,0.069,"[-1.794, 1.933]",1.863,0.074,0.941
norefined,k4,-0.379,"[-1.658, 0.899]",1.278,-0.593,0.555
norefined,k5,0.031,"[-1.038, 1.101]",1.069,0.059,0.953
refined,tt,-0.968,"[-1.368, -0.569]",0.400,-4.837,0.000
refined,c,-4.984,"[-6.947, -3.021]",1.963,-5.068,0.000
refined,s,-3.075,"[-4.325, -1.824]",1.250,-4.909,0.000
refined,k0,-0.448,"[-1.177, 0.282]",0.730,-1.224,0.225
refined,k1,0.195,"[-0.459, 0.848]",0.654,0.594,0.554
refined,k2,0.024,"[-0.664, 0.713]",0.689,0.071,0.944
refined,k3,0.437,"[-0.448, 1.322]",0.885,0.986,0.328
refined,k4,-0.765,"[-1.602, 0.073]",0.838,-1.823,0.073
refined,k5,-0.364,"[-0.943, 0.215]",0.579,-1.255,0.214
