stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,30.485,2.347,0.000,19,0,9,582602617.175,20487732.151
refined,30.485,2.347,0.000,19,0,9,582602617.175,20487732.151
