stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,153.320,1.765,0.000,57,0,9,2683161517.371,90198138.873
refined,223.775,1.765,0.000,57,0,9,2683161517.371,62460284.094
