stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.376,-4.818,-3.740,-1.013,0.406,-0.218,-1.745,-1.203,-0.913,657369020.798,0.286
norefined,2,-1.036,-5.077,-3.563,-0.922,0.289,-0.190,-1.658,-1.223,-0.843,522986437.139,0.204
norefined,3,-0.845,-5.369,-3.290,-0.793,0.170,-0.137,-1.553,-1.249,-0.752,464101686.271,0.157
norefined,4,-1.211,-5.501,-3.186,-0.622,0.080,-0.075,-1.409,-1.089,-0.728,451423727.217,0.220
norefined,5,-0.806,-5.603,-3.297,-0.439,0.009,-0.023,-1.327,-0.967,-0.708,438921000.413,0.144
norefined,6,-1.272,-5.642,-3.156,-0.436,-0.018,-0.002,-1.236,-0.933,-0.717,426464377.408,0.226
norefined,7,-0.861,-5.727,-3.277,-0.262,-0.078,0.043,-1.151,-0.809,-0.703,417519004.079,0.150
norefined,8,-1.324,-5.761,-3.117,-0.269,-0.105,0.064,-1.064,-0.794,-0.720,407546586.323,0.230
norefined,9,-0.908,-5.826,-3.256,-0.104,-0.156,0.103,-0.980,-0.670,-0.714,401641759.444,0.156
norefined,10,-1.365,-5.857,-3.078,-0.118,-0.186,0.122,-0.900,-0.673,-0.735,393723952.908,0.233
refined,11,-1.365,-5.857,-3.078,-0.118,-0.186,0.122,-0.900,-0.673,-0.735,393723952.908,0.233
refined,12,-1.143,-5.952,-2.784,0.722,-0.460,0.025,-0.200,-0.289,-1.010,346905759.008,0.192
refined,13,-1.458,-7.454,-3.486,1.089,-0.645,-0.052,-0.356,-0.461,-1.341,346319241.160,0.196
refined,14,-1.020,-5.161,-2.582,0.479,-0.407,0.038,-0.166,-0.311,-0.824,350933691.548,0.198
refined,15,-1.561,-7.857,-3.719,1.184,-0.721,-0.131,-0.403,-0.559,-1.449,347734053.237,0.199
refined,16,-0.826,-4.220,-2.175,0.239,-0.319,0.084,-0.078,-0.246,-0.646,365498358.480,0.196
refined,17,-1.532,-7.623,-3.666,1.076,-0.721,-0.214,-0.422,-0.590,-1.449,348663943.357,0.201
refined,18,-0.905,-4.719,-2.350,0.381,-0.359,0.102,-0.083,-0.268,-0.741,356673215.788,0.192
refined,19,-1.571,-7.932,-3.748,1.191,-0.747,-0.174,-0.405,-0.588,-1.503,348475750.021,0.198
refined,20,-0.788,-4.018,-2.093,0.187,-0.297,0.095,-0.060,-0.221,-0.596,371308110.962,0.196
