stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,63.489,2.023,0.000,76,0,9,2749955622.808,288607480.771
refined,185.123,2.023,0.000,76,0,9,2749955622.808,106310176.281
