attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.825,"[-1.066, -0.583]",0.242,-5.681,0.000,54.733,ngd,25,168239703.721,0.135,-1.000,0.175,0,0,fn
c,-6.084,"[-7.689, -4.479]",1.605,-6.315,0.000,54.733,ngd,25,168239703.721,0.135,-6.000,-0.084,0,0,fn
s,-2.768,"[-3.591, -1.944]",0.824,-5.600,0.000,54.733,ngd,25,168239703.721,0.135,-3.000,0.232,0,0,fn
vot,0.136,,,,,54.733,ngd,25,168239703.721,0.135,0.167,-0.031,0,0,fn
tt,-1.050,"[-3.607, 1.507]",2.557,-0.684,0.496,79.335,lm,25,6442308554.937,0.833,-1.000,-0.050,1,0,fn
c,11.819,"[-16.823, 40.462]",28.643,0.687,0.494,79.335,lm,25,6442308554.937,0.833,-6.000,17.819,1,0,fn
s,2.733,"[-4.211, 9.677]",6.944,0.656,0.514,79.335,lm,25,6442308554.937,0.833,-3.000,5.733,1,0,fn
vot,-0.089,,,,,79.335,lm,25,6442308554.937,0.833,0.167,-0.256,0,0,fn
tt,-1.198,"[-1.565, -0.832]",0.367,-5.446,0.000,109.489,ngd+lm,25,162955277.112,0.132,-1.000,-0.198,0,0,fn
c,-7.375,"[-9.45, -5.299]",2.075,-5.921,0.000,109.489,ngd+lm,25,162955277.112,0.132,-6.000,-1.375,0,0,fn
s,-3.758,"[-4.921, -2.596]",1.163,-5.385,0.000,109.489,ngd+lm,25,162955277.112,0.132,-3.000,-0.758,0,0,fn
vot,0.162,,,,,109.489,ngd+lm,25,162955277.112,0.132,0.167,-0.004,0,0,fn
