stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.403,"[-2.388, -0.418]",0.985,-2.375,0.020
norefined,c,-7.483,"[-12.979, -1.986]",5.497,-2.270,0.026
norefined,s,-3.032,"[-5.215, -0.848]",2.184,-2.315,0.024
norefined,k0,0.279,"[-0.83, 1.388]",1.109,0.420,0.676
norefined,k1,0.764,"[-0.602, 2.131]",1.366,0.933,0.354
norefined,k2,0.394,"[-0.403, 1.192]",0.798,0.825,0.412
norefined,k3,0.402,"[-0.667, 1.47]",1.068,0.627,0.533
norefined,k4,-1.571,"[-3.082, -0.06]",1.511,-1.734,0.087
norefined,k5,0.399,"[-0.953, 1.751]",1.352,0.492,0.624
refined,tt,-1.150,"[-1.94, -0.36]",0.790,-2.429,0.018
refined,c,-6.548,"[-11.002, -2.094]",4.454,-2.452,0.017
refined,s,-3.779,"[-6.103, -1.456]",2.324,-2.713,0.008
refined,k0,-0.160,"[-0.966, 0.647]",0.807,-0.330,0.742
refined,k1,-0.528,"[-1.608, 0.552]",1.080,-0.816,0.417
refined,k2,0.185,"[-0.436, 0.806]",0.621,0.497,0.621
refined,k3,-0.089,"[-0.921, 0.744]",0.833,-0.178,0.859
refined,k4,-0.028,"[-0.979, 0.923]",0.951,-0.049,0.961
refined,k5,0.328,"[-0.935, 1.591]",1.263,0.433,0.666
