stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.310,"[-2.196, -0.425]",0.886,-2.953,0.004
norefined,c,-6.263,"[-10.433, -2.092]",4.171,-2.997,0.004
norefined,s,-2.986,"[-4.811, -1.161]",1.825,-3.267,0.002
norefined,k0,-0.248,"[-1.657, 1.16]",1.409,-0.352,0.726
norefined,k1,0.056,"[-1.656, 1.768]",1.712,0.066,0.948
norefined,k2,-0.256,"[-1.55, 1.037]",1.294,-0.395,0.694
norefined,k3,0.229,"[-1.826, 2.284]",2.055,0.222,0.825
norefined,k4,-1.452,"[-3.461, 0.557]",2.009,-1.443,0.154
norefined,k5,-0.633,"[-1.876, 0.61]",1.243,-1.016,0.313
refined,tt,-0.899,"[-1.238, -0.561]",0.338,-5.302,0.000
refined,c,-6.111,"[-8.412, -3.811]",2.300,-5.303,0.000
refined,s,-2.989,"[-4.134, -1.844]",1.145,-5.209,0.000
refined,k0,-0.251,"[-1.059, 0.557]",0.808,-0.620,0.538
refined,k1,-1.395,"[-2.358, -0.432]",0.963,-2.892,0.005
refined,k2,-0.180,"[-0.915, 0.555]",0.735,-0.489,0.627
refined,k3,0.518,"[-0.557, 1.593]",1.075,0.961,0.340
refined,k4,0.680,"[-0.161, 1.52]",0.841,1.614,0.111
refined,k5,0.329,"[-0.356, 1.014]",0.685,0.958,0.341
