stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.144,"[-1.556, -0.733]",0.411,-5.556,0.000
norefined,c,-6.198,"[-8.674, -3.722]",2.476,-4.996,0.000
norefined,s,-3.159,"[-4.311, -2.008]",1.152,-5.475,0.000
norefined,k0,0.111,"[-0.77, 0.992]",0.881,0.252,0.802
norefined,k1,0.700,"[-0.448, 1.849]",1.148,1.217,0.228
norefined,k2,-0.079,"[-0.9, 0.742]",0.821,-0.192,0.848
norefined,k3,0.255,"[-0.941, 1.452]",1.197,0.426,0.672
norefined,k4,-1.129,"[-2.246, -0.012]",1.117,-2.018,0.048
norefined,k5,-0.136,"[-0.933, 0.661]",0.797,-0.340,0.735
refined,tt,-0.909,"[-1.14, -0.679]",0.231,-7.872,0.000
refined,c,-5.968,"[-7.599, -4.338]",1.631,-7.306,0.000
refined,s,-3.091,"[-3.898, -2.284]",0.807,-7.646,0.000
refined,k0,-0.128,"[-0.633, 0.376]",0.504,-0.508,0.613
refined,k1,-0.120,"[-0.67, 0.429]",0.550,-0.438,0.663
refined,k2,-0.151,"[-0.644, 0.343]",0.493,-0.609,0.545
refined,k3,0.345,"[-0.334, 1.023]",0.678,1.014,0.314
refined,k4,0.531,"[-0.024, 1.086]",0.555,1.908,0.061
refined,k5,0.300,"[-0.167, 0.768]",0.468,1.282,0.204
