stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.628,-5.618,-1.949,-1.010,-0.048,-0.896,0.579,-1.902,-1.469,992236747.718,0.468
norefined,2,-2.205,-5.720,-2.176,-0.929,-0.029,-0.919,0.562,-1.937,-1.458,626209295.409,0.386
norefined,3,-1.753,-5.834,-2.328,-0.893,-0.027,-0.942,0.507,-1.983,-1.410,365171557.074,0.300
norefined,4,-1.564,-5.938,-2.611,-0.725,0.026,-0.821,0.431,-1.904,-1.152,310930523.136,0.263
norefined,5,-1.896,-5.950,-2.699,-0.585,0.074,-0.645,0.380,-1.727,-0.941,303355046.943,0.319
norefined,6,-1.432,-6.077,-2.801,-0.534,0.060,-0.609,0.341,-1.762,-0.893,275900711.806,0.236
norefined,7,-1.839,-6.065,-2.808,-0.435,0.091,-0.460,0.303,-1.582,-0.761,267336468.305,0.303
norefined,8,-1.370,-6.181,-2.904,-0.382,0.067,-0.423,0.278,-1.612,-0.736,250294197.675,0.222
norefined,9,-1.785,-6.162,-2.890,-0.293,0.091,-0.282,0.243,-1.420,-0.633,243975167.756,0.290
norefined,10,-1.310,-6.263,-2.986,-0.248,0.056,-0.256,0.229,-1.452,-0.633,231692422.835,0.209
refined,11,-1.310,-6.263,-2.986,-0.248,0.056,-0.256,0.229,-1.452,-0.633,231692422.835,0.209
refined,12,-0.763,-6.278,-3.040,-0.594,-1.779,-0.221,0.463,1.600,0.389,160200964.197,0.122
refined,13,-0.894,-5.725,-2.856,-0.164,-1.213,-0.105,0.713,0.467,0.272,142222738.763,0.156
refined,14,-0.867,-5.957,-2.897,-0.269,-1.363,-0.197,0.530,0.699,0.349,140115822.796,0.145
refined,15,-0.890,-6.039,-2.958,-0.233,-1.382,-0.167,0.528,0.660,0.327,140018362.856,0.147
refined,16,-0.895,-6.093,-2.978,-0.251,-1.391,-0.182,0.520,0.682,0.333,140006996.139,0.147
refined,17,-0.898,-6.099,-2.983,-0.248,-1.393,-0.178,0.519,0.677,0.328,140005184.951,0.147
refined,18,-0.899,-6.109,-2.987,-0.251,-1.394,-0.180,0.518,0.680,0.330,140004887.269,0.147
refined,19,-0.899,-6.110,-2.988,-0.250,-1.395,-0.180,0.518,0.679,0.329,140004837.875,0.147
refined,20,-0.899,-6.111,-2.989,-0.251,-1.395,-0.180,0.518,0.680,0.329,140004829.634,0.147
