attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.223,"[-1.62, -0.827]",0.397,-5.137,0.000,57.879,ngd,84,151313393.728,0.129,-1.000,-0.223,0,0,fn
c,-5.984,"[-7.936, -4.031]",1.953,-5.106,0.000,57.879,ngd,84,151313393.728,0.129,-6.000,0.016,0,0,fn
s,-2.945,"[-3.881, -2.01]",0.936,-5.245,0.000,57.879,ngd,84,151313393.728,0.129,-3.000,0.055,0,0,fn
vot,0.204,,,,,57.879,ngd,84,151313393.728,0.129,0.167,0.038,0,0,fn
tt,-0.965,"[-1.286, -0.644]",0.321,-5.015,0.000,55.642,lm,84,152562743.164,0.130,-1.000,0.035,0,0,fn
c,-6.071,"[-8.135, -4.007]",2.064,-4.899,0.000,55.642,lm,84,152562743.164,0.130,-6.000,-0.071,0,0,fn
s,-2.642,"[-3.498, -1.786]",0.856,-5.141,0.000,55.642,lm,84,152562743.164,0.130,-3.000,0.358,0,0,fn
vot,0.159,,,,,55.642,lm,84,152562743.164,0.130,0.167,-0.008,0,0,fn
tt,-1.221,"[-1.627, -0.816]",0.406,-5.015,0.000,100.933,ngd+lm,84,150142561.332,0.129,-1.000,-0.221,0,0,fn
c,-6.325,"[-8.454, -4.195]",2.129,-4.949,0.000,100.933,ngd+lm,84,150142561.332,0.129,-6.000,-0.325,0,0,fn
s,-2.983,"[-3.952, -2.015]",0.969,-5.131,0.000,100.933,ngd+lm,84,150142561.332,0.129,-3.000,0.017,0,0,fn
vot,0.193,,,,,100.933,ngd+lm,84,150142561.332,0.129,0.167,0.026,0,0,fn
