stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.177,"[-2.986, 0.633]",1.809,-1.298,0.199
norefined,c,-7.480,"[-17.737, 2.776]",10.256,-1.456,0.150
norefined,s,-2.466,"[-6.268, 1.335]",3.802,-1.295,0.200
norefined,k0,0.138,"[-1.128, 1.403]",1.266,0.217,0.829
norefined,k1,-1.263,"[-4.05, 1.524]",2.787,-0.904,0.369
norefined,k2,1.593,"[-1.973, 5.158]",3.565,0.892,0.376
norefined,k3,-0.886,"[-2.596, 0.825]",1.710,-1.034,0.305
norefined,k4,0.990,"[-0.594, 2.574]",1.584,1.248,0.217
norefined,k5,-1.118,"[-3.547, 1.311]",2.429,-0.919,0.362
refined,tt,-0.225,"[-0.301, -0.15]",0.075,-5.973,0.000
refined,c,-1.893,"[-2.397, -1.388]",0.504,-7.491,0.000
refined,s,-0.891,"[-1.195, -0.587]",0.304,-5.848,0.000
refined,k0,-0.088,"[-0.347, 0.172]",0.260,-0.673,0.503
refined,k1,0.038,"[-0.287, 0.363]",0.325,0.234,0.816
refined,k2,0.625,"[0.106, 1.144]",0.519,2.402,0.019
refined,k3,0.114,"[-0.132, 0.36]",0.246,0.926,0.358
refined,k4,0.037,"[-0.275, 0.349]",0.312,0.239,0.812
refined,k5,-0.128,"[-0.555, 0.299]",0.427,-0.599,0.551
