stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.561,-7.646,-1.586,-0.012,-1.595,1.409,-1.292,0.907,-1.136,944571844.737,0.073
norefined,2,-1.045,-7.594,-1.634,-0.055,-1.550,1.426,-1.250,0.979,-1.138,690387065.778,0.138
norefined,3,-1.467,-7.501,-1.792,-0.059,-1.476,1.470,-1.146,1.112,-1.093,603071585.123,0.196
norefined,4,-1.226,-7.461,-2.195,0.014,-1.373,1.513,-1.054,1.117,-1.137,555450634.741,0.164
norefined,5,-1.665,-7.359,-2.312,-0.014,-1.299,1.545,-0.935,1.217,-1.093,534568633.278,0.226
norefined,6,-1.239,-7.396,-2.544,0.008,-1.261,1.544,-0.941,1.131,-1.152,524323799.389,0.167
norefined,7,-1.705,-7.303,-2.596,-0.045,-1.204,1.561,-0.845,1.192,-1.113,495619300.939,0.234
norefined,8,-1.273,-7.347,-2.809,-0.032,-1.170,1.554,-0.862,1.091,-1.173,502191723.128,0.173
norefined,9,-1.748,-7.258,-2.837,-0.090,-1.120,1.562,-0.775,1.125,-1.141,470015052.011,0.241
norefined,10,-1.307,-7.311,-3.029,-0.084,-1.090,1.551,-0.802,1.020,-1.194,485168340.873,0.179
refined,11,-1.748,-7.258,-2.837,-0.090,-1.120,1.562,-0.775,1.125,-1.141,470015052.011,0.241
refined,12,-2.815,-11.639,-5.131,-0.349,-0.781,1.165,-0.540,0.951,-0.681,409533027.642,0.242
refined,13,-2.539,-11.612,-5.480,-1.226,-0.027,0.700,0.027,1.157,-0.050,398597181.389,0.219
refined,14,-4.152,-17.621,-8.126,-1.100,-0.759,-0.014,-0.041,1.336,0.510,393286891.511,0.236
refined,15,-3.554,-16.759,-7.700,-1.999,-0.045,2.367,0.010,1.893,-0.526,404993477.606,0.212
refined,16,-2.383,-8.744,-4.436,0.085,-1.316,-2.673,0.064,0.301,1.412,731878196.689,0.272
refined,17,-0.442,-2.862,-1.200,-0.381,0.118,2.318,-0.547,0.444,-1.119,786349435.046,0.154
refined,18,-1.034,-5.278,-2.515,-0.483,0.035,2.209,-0.865,0.611,-0.961,474054801.342,0.196
refined,19,-1.226,-5.283,-2.921,-0.181,-0.358,-0.471,-0.504,0.236,0.426,431510166.414,0.232
refined,20,-1.506,-6.790,-3.333,-0.277,-0.189,0.568,-0.401,0.381,-0.272,410650182.690,0.222
