stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,71.656,1.765,0.000,0,9,2442115146.245,169173243.706,57
refined,202.811,1.765,0.000,0,9,2442115146.245,62574954.959,57
