stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.531,-5.000,-3.609,1.494,-0.692,0.782,1.169,1.692,0.531,2145232511.426,0.306
norefined,2,-1.203,-5.152,-3.722,1.268,-0.741,0.672,1.043,1.536,0.509,1239836548.980,0.233
norefined,3,-0.785,-5.268,-3.806,1.098,-0.748,0.602,0.955,1.420,0.517,697998681.303,0.149
norefined,4,-0.850,-5.449,-3.738,0.831,-0.862,0.448,0.757,1.219,0.372,466258495.808,0.156
norefined,5,-0.836,-5.635,-3.655,0.565,-0.916,0.313,0.557,0.971,0.249,338289025.406,0.148
norefined,6,-1.197,-5.739,-3.507,0.446,-0.923,0.236,0.428,0.781,0.128,451225125.313,0.209
norefined,7,-0.730,-5.809,-3.581,0.352,-0.869,0.226,0.396,0.705,0.186,334129605.331,0.126
norefined,8,-1.210,-5.813,-3.473,0.378,-0.878,0.200,0.379,0.681,0.110,416180876.530,0.208
norefined,9,-0.742,-5.881,-3.549,0.286,-0.827,0.193,0.347,0.608,0.168,319250818.657,0.126
norefined,10,-1.224,-5.877,-3.444,0.321,-0.834,0.172,0.334,0.593,0.096,390024223.628,0.208
refined,11,-0.742,-5.881,-3.549,0.286,-0.827,0.193,0.347,0.608,0.168,319250818.657,0.126
refined,12,-1.053,-5.931,-3.066,0.234,-0.581,0.169,-0.130,-0.691,-0.322,177091404.208,0.177
refined,13,-1.149,-6.774,-3.428,0.018,-0.518,0.165,0.025,-0.471,-0.411,156498856.124,0.170
refined,14,-1.201,-7.154,-3.600,0.015,-0.532,0.166,0.055,-0.459,-0.493,156129033.233,0.168
refined,15,-1.211,-7.235,-3.638,0.025,-0.544,0.166,0.059,-0.459,-0.512,156113332.071,0.167
refined,16,-1.213,-7.256,-3.649,0.030,-0.547,0.166,0.059,-0.459,-0.517,156112113.071,0.167
refined,17,-1.214,-7.262,-3.652,0.031,-0.547,0.166,0.059,-0.459,-0.518,156112011.415,0.167
refined,18,-1.214,-7.264,-3.653,0.031,-0.548,0.166,0.059,-0.459,-0.519,156112002.855,0.167
refined,19,-1.214,-7.264,-3.654,0.031,-0.548,0.166,0.059,-0.459,-0.519,156112002.134,0.167
refined,20,-1.214,-7.265,-3.654,0.031,-0.548,0.166,0.059,-0.459,-0.519,156112002.073,0.167
