stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.254,"[-2.027, -0.481]",0.773,-3.238,0.002
norefined,c,-5.944,"[-9.613, -2.275]",3.669,-3.233,0.002
norefined,s,-3.399,"[-5.544, -1.254]",2.145,-3.163,0.002
norefined,k0,0.266,"[-0.981, 1.512]",1.247,0.425,0.672
norefined,k1,-0.894,"[-2.246, 0.458]",1.352,-1.320,0.191
norefined,k2,0.042,"[-0.787, 0.871]",0.829,0.101,0.920
norefined,k3,0.531,"[-0.598, 1.66]",1.129,0.938,0.352
norefined,k4,0.758,"[-0.5, 2.017]",1.258,1.203,0.233
norefined,k5,0.251,"[-1.125, 1.627]",1.376,0.364,0.717
refined,tt,-1.347,"[-2.385, -0.309]",1.038,-2.590,0.012
refined,c,-7.064,"[-12.329, -1.798]",5.265,-2.678,0.009
refined,s,-3.376,"[-5.881, -0.871]",2.505,-2.690,0.009
refined,k0,-0.467,"[-1.559, 0.624]",1.092,-0.855,0.396
refined,k1,-0.835,"[-2.186, 0.517]",1.352,-1.233,0.222
refined,k2,-0.055,"[-0.814, 0.704]",0.759,-0.144,0.886
refined,k3,0.527,"[-0.498, 1.552]",1.025,1.026,0.309
refined,k4,-0.623,"[-2.069, 0.823]",1.446,-0.860,0.393
refined,k5,-0.142,"[-1.682, 1.399]",1.541,-0.184,0.855
