stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.899,"[-1.655, -0.143]",0.756,-2.373,0.021
norefined,c,-5.498,"[-10.127, -0.869]",4.629,-2.371,0.021
norefined,s,-2.813,"[-5.187, -0.438]",2.375,-2.364,0.021
norefined,k0,-0.332,"[-1.32, 0.655]",0.988,-0.672,0.504
norefined,k1,0.192,"[-0.937, 1.321]",1.129,0.339,0.736
norefined,k2,-0.281,"[-1.513, 0.952]",1.233,-0.454,0.651
norefined,k3,0.076,"[-1.236, 1.389]",1.313,0.116,0.908
norefined,k4,-0.547,"[-1.677, 0.583]",1.130,-0.966,0.338
norefined,k5,-0.280,"[-1.434, 0.875]",1.155,-0.484,0.630
refined,tt,-1.460,"[-2.635, -0.285]",1.175,-2.480,0.016
refined,c,-7.852,"[-14.804, -0.899]",6.953,-2.254,0.027
refined,s,-3.893,"[-7.369, -0.418]",3.475,-2.236,0.029
refined,k0,-0.024,"[-1.358, 1.311]",1.335,-0.035,0.972
refined,k1,0.285,"[-1.678, 2.249]",1.963,0.290,0.773
refined,k2,-0.550,"[-2.612, 1.512]",2.062,-0.533,0.596
refined,k3,-0.131,"[-1.931, 1.669]",1.800,-0.145,0.885
refined,k4,-0.506,"[-2.012, 1.0]",1.506,-0.671,0.505
refined,k5,-0.750,"[-2.612, 1.113]",1.862,-0.803,0.425
