stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,43.416,1.727,0.000,76,0,9,3613480855.638,528908419.608
refined,55.916,1.727,0.000,76,0,9,3613480855.638,424559637.299
