stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.630,"[-1.565, 0.304]",0.934,-1.334,0.184
norefined,reliable_speed,0.000,"[-0.45, 0.45]",0.450,0.000,1.000
norefined,incident,-0.360,"[-1.144, 0.423]",0.784,-0.909,0.365
norefined,bus_stop,-0.171,"[-0.807, 0.464]",0.636,-0.533,0.595
norefined,intersection,0.000,"[-0.381, 0.381]",0.381,0.000,1.000
norefined,low_inc,0.000,"[-0.32, 0.32]",0.320,0.000,1.000
refined,tt,-0.760,"[-1.238, -0.283]",0.478,-3.147,0.002
refined,incident,-0.118,"[-0.446, 0.209]",0.327,-0.716,0.475
refined,bus_stop,0.000,"[-0.358, 0.358]",0.358,0.000,1.000
