stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,9.376,2.166,0.000,0,6,280450533.919,197957067.430,141
refined,8.047,2.670,0.000,0,3,215947117.235,183793899.050,141
