stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,32.526,2.347,0.000,19,0,9,767457505.011,25351215.624
refined,123.548,2.347,0.000,19,0,9,767457505.011,6840521.238
