stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.458,-5.163,-4.997,-0.574,0.652,1.207,1.991,-0.032,-1.681,698548650.256,1584,0,0,0.282
norefined,2,-1.839,-5.202,-4.916,-0.693,0.560,1.041,1.830,-0.173,-1.699,555766428.522,1584,0,0,0.354
norefined,3,-1.641,-5.323,-4.985,-0.862,0.461,0.855,1.680,-0.164,-1.389,489410367.974,1584,0,0,0.308
norefined,4,-1.720,-5.450,-4.920,-1.075,0.349,0.563,1.463,-0.295,-1.261,457805176.751,1584,0,0,0.316
norefined,5,-1.283,-5.526,-5.002,-1.121,0.365,0.503,1.437,-0.174,-1.101,474141720.491,1584,0,0,0.232
norefined,6,-1.704,-5.545,-4.887,-1.204,0.319,0.357,1.315,-0.281,-1.151,439595790.635,1584,0,0,0.307
norefined,7,-1.250,-5.615,-4.965,-1.230,0.341,0.319,1.299,-0.157,-1.030,439529891.282,1584,0,0,0.223
norefined,8,-1.682,-5.633,-4.841,-1.308,0.300,0.182,1.195,-0.252,-1.069,425792008.178,1584,0,0,0.299
norefined,9,-1.221,-5.698,-4.918,-1.321,0.321,0.155,1.176,-0.127,-0.968,415533679.121,1584,0,0,0.214
norefined,10,-1.663,-5.716,-4.786,-1.393,0.283,0.030,1.093,-0.210,-0.990,415409449.327,1584,0,0,0.291
refined,11,-1.663,-5.716,-4.786,-1.393,0.283,0.030,1.093,-0.210,-0.990,415409449.327,1584,0,0,0.291
refined,12,0.479,0.616,1.082,-0.232,-0.177,-1.322,-0.469,0.623,1.142,10283231775.850,1584,0,0,0.777
refined,13,-1.520,-2.440,-3.940,-0.135,0.507,3.323,1.172,-1.410,-3.684,1790345113.063,1584,0,0,0.623
refined,14,0.562,-2.691,1.532,-0.688,-1.035,-2.346,-1.193,2.206,2.908,8262226346.355,1584,0,0,-0.209
refined,15,-2.211,7.288,-6.402,1.170,3.969,7.525,3.835,-7.225,-10.105,8596255122.444,1584,0,0,-0.303
refined,16,6.755,-27.767,21.611,-2.576,-16.022,-29.196,-14.859,27.285,36.357,10733024734.358,1584,0,0,-0.243
refined,17,-74.244,282.863,-262.142,35.629,182.480,330.099,165.487,-315.515,-394.404,10881181590.184,1584,0,0,-0.262
refined,18,-6918.322,9664.508,2754.854,8431.336,25570.590,-26237.320,2134.235,-21292.623,15059.075,9998359353.669,1584,0,0,-0.716
refined,19,-6937.846,9658.354,2756.518,8423.302,25559.673,-26244.105,2123.393,-21304.064,15050.319,9944811735.924,1584,0,0,-0.718
refined,20,-7181.776,9576.443,2966.769,8384.823,25566.036,-26158.220,2351.307,-21310.716,15071.080,9855878206.868,1584,0,0,-0.750
