stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,31.886,2.023,0.000,76,0,9,2101120682.647,397697887.408
refined,66.222,2.023,0.000,76,0,9,2101120682.647,212330738.086
