stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.550,"[-0.844, -0.255]",0.295,-3.723,0.000
norefined,c,-5.112,"[-7.626, -2.598]",2.514,-4.059,0.000
norefined,s,-2.306,"[-3.356, -1.257]",1.049,-4.386,0.000
norefined,k0,0.134,"[-0.602, 0.871]",0.737,0.364,0.717
norefined,k1,-0.176,"[-1.128, 0.777]",0.952,-0.368,0.714
norefined,k2,0.152,"[-0.448, 0.752]",0.600,0.506,0.615
norefined,k3,-0.873,"[-1.726, -0.02]",0.853,-2.043,0.045
norefined,k4,-0.801,"[-1.787, 0.184]",0.985,-1.624,0.109
norefined,k5,-0.120,"[-0.636, 0.395]",0.515,-0.466,0.643
refined,tt,-0.942,"[-1.327, -0.556]",0.385,-4.877,0.000
refined,c,-5.979,"[-8.423, -3.536]",2.443,-4.885,0.000
refined,s,-3.093,"[-4.281, -1.905]",1.188,-5.196,0.000
refined,k0,0.097,"[-0.523, 0.716]",0.619,0.312,0.756
refined,k1,-0.177,"[-0.919, 0.565]",0.742,-0.476,0.636
refined,k2,0.073,"[-0.43, 0.575]",0.503,0.289,0.773
refined,k3,-0.384,"[-1.058, 0.29]",0.674,-1.137,0.260
refined,k4,0.231,"[-0.316, 0.777]",0.547,0.843,0.402
refined,k5,-0.021,"[-0.42, 0.378]",0.399,-0.105,0.916
