stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.652,-6.763,-3.016,1.737,1.304,0.541,0.825,1.963,-1.580,1155002322.651,0.244
norefined,2,-1.203,-6.841,-3.169,1.696,1.268,0.463,0.741,1.925,-1.548,667185753.679,0.176
norefined,3,-0.748,-6.899,-3.318,1.649,1.218,0.382,0.693,1.865,-1.523,764549317.993,0.108
norefined,4,-1.241,-6.870,-3.292,1.606,1.199,0.339,0.691,1.841,-1.552,633842473.073,0.181
norefined,5,-0.772,-6.927,-3.420,1.581,1.172,0.285,0.641,1.799,-1.511,726372905.994,0.111
norefined,6,-1.266,-6.895,-3.385,1.545,1.161,0.251,0.639,1.782,-1.536,615560126.317,0.184
norefined,7,-0.790,-6.952,-3.499,1.533,1.145,0.215,0.586,1.750,-1.488,704231393.281,0.114
norefined,8,-1.285,-6.919,-3.458,1.502,1.137,0.187,0.584,1.737,-1.510,603879250.472,0.186
norefined,9,-0.806,-6.976,-3.561,1.497,1.127,0.162,0.530,1.711,-1.459,689240968.208,0.116
norefined,10,-1.301,-6.943,-3.517,1.468,1.122,0.140,0.528,1.699,-1.481,595454076.237,0.187
refined,11,-1.301,-6.943,-3.517,1.468,1.122,0.140,0.528,1.699,-1.481,595454076.237,0.187
refined,12,-0.694,-4.234,-1.909,0.484,-1.093,0.050,0.058,0.726,1.408,697883981.418,0.164
refined,13,-0.803,-4.635,-2.157,0.536,0.337,0.234,0.034,-0.216,-0.032,488753809.471,0.173
refined,14,-1.021,-5.930,-2.804,0.816,0.240,0.025,-0.212,-0.130,0.122,472749583.572,0.172
refined,15,-1.098,-6.447,-3.050,0.642,0.355,0.106,-0.177,-0.321,0.112,470608444.453,0.170
refined,16,-1.160,-6.852,-3.149,0.602,0.129,0.076,-0.166,-0.109,0.359,469501743.033,0.169
refined,17,-1.299,-7.783,-3.528,0.508,0.328,0.164,-0.060,-0.281,0.273,468158773.685,0.167
refined,18,-1.374,-8.259,-3.591,0.518,-0.043,0.107,0.012,0.156,0.679,467766794.649,0.166
refined,19,-1.616,-9.889,-4.300,0.399,0.314,0.265,0.217,-0.251,0.495,465939383.140,0.163
refined,20,-1.678,-10.176,-4.254,0.527,-0.424,0.151,0.289,0.542,1.203,468433749.733,0.165
